epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,10316.1,1.169,1.27648,1.55306,0.75613,0.44462,0.49476,0.28855,1.42568,1.23495,1.9438,0.005842,0.005842,0.005842
44,10541.2,1.17056,1.2858,1.55568,0.60714,0.4842,0.48036,0.27968,1.43244,1.24013,1.94386,0.005743,0.005743,0.005743
45,10790.6,1.15391,1.25672,1.53719,0.73246,0.4547,0.48164,0.28106,1.41629,1.22778,1.92452,0.005644,0.005644,0.005644
46,11080.6,1.15091,1.2467,1.53945,0.6312,0.515,0.5143,0.29479,1.4159,1.2354,1.92732,0.005545,0.005545,0.005545
47,11372.3,1.14637,1.23174,1.53558,0.66872,0.48455,0.50563,0.30061,1.41343,1.21656,1.93447,0.005446,0.005446,0.005446
48,11666.1,1.1486,1.23603,1.54011,0.69362,0.46405,0.50704,0.30396,1.403,1.20698,1.9191,0.005347,0.005347,0.005347
49,11962.3,1.14521,1.24352,1.53305,0.64955,0.51269,0.50968,0.30083,1.38914,1.20623,1.90873,0.005248,0.005248,0.005248
50,12309.9,1.14059,1.21996,1.53286,0.71718,0.47762,0.51639,0.29868,1.40472,1.18614,1.92049,0.005149,0.005149,0.005149
51,12855.7,1.13557,1.20316,1.52721,0.65628,0.53533,0.53028,0.30603,1.39542,1.17245,1.90806,0.00505,0.00505,0.00505
52,13082.7,1.13236,1.21187,1.52833,0.66539,0.52817,0.53031,0.30991,1.4093,1.18796,1.91387,0.004951,0.004951,0.004951
53,13311.5,1.13392,1.20394,1.52069,0.71411,0.50631,0.53405,0.31174,1.38558,1.17906,1.90288,0.004852,0.004852,0.004852
54,13540.5,1.11582,1.17241,1.51353,0.71313,0.49142,0.51587,0.29896,1.37841,1.15194,1.88761,0.004753,0.004753,0.004753
55,13768.5,1.12923,1.18703,1.52061,0.70762,0.49996,0.53263,0.31377,1.39607,1.15808,1.88999,0.004654,0.004654,0.004654
56,13994.2,1.12298,1.17261,1.51309,0.68439,0.50921,0.52351,0.30712,1.38993,1.15247,1.89954,0.004555,0.004555,0.004555
57,14220.8,1.1141,1.16271,1.50325,0.7178,0.47552,0.5283,0.30783,1.37378,1.15141,1.89017,0.004456,0.004456,0.004456
58,14447.4,1.11731,1.17788,1.50608,0.74111,0.46405,0.52308,0.31003,1.35974,1.12918,1.87322,0.004357,0.004357,0.004357
59,14673.4,1.10656,1.15369,1.50669,0.77338,0.47118,0.52682,0.29741,1.36909,1.13555,1.88455,0.004258,0.004258,0.004258
60,14899.9,1.10873,1.15977,1.50233,0.73504,0.50622,0.52532,0.30605,1.37572,1.1308,1.88757,0.004159,0.004159,0.004159
61,15126.9,1.09627,1.14478,1.4979,0.70384,0.50897,0.52707,0.30272,1.35941,1.10872,1.87235,0.00406,0.00406,0.00406
62,15354,1.10262,1.13509,1.49894,0.72547,0.50445,0.52589,0.31431,1.35778,1.12841,1.8598,0.003961,0.003961,0.003961
63,15580.7,1.08931,1.12817,1.48951,0.70847,0.48861,0.52627,0.31128,1.35156,1.09867,1.85915,0.003862,0.003862,0.003862
64,15807.9,1.09674,1.12628,1.49002,0.71042,0.53246,0.55285,0.32155,1.34852,1.08873,1.85229,0.003763,0.003763,0.003763
65,16059.1,1.09282,1.128,1.48828,0.72315,0.5159,0.54124,0.31269,1.34027,1.08876,1.83833,0.003664,0.003664,0.003664
66,16347.7,1.08743,1.10548,1.47981,0.72848,0.50215,0.5408,0.31889,1.33908,1.08327,1.84507,0.003565,0.003565,0.003565
67,16635.8,1.07594,1.10197,1.47649,0.75681,0.49373,0.53418,0.31881,1.33577,1.08342,1.84536,0.003466,0.003466,0.003466
68,16928.4,1.08504,1.09404,1.47385,0.76032,0.49963,0.53685,0.31493,1.34266,1.07167,1.85295,0.003367,0.003367,0.003367
69,17217.8,1.07712,1.10243,1.47135,0.76001,0.51632,0.54444,0.32045,1.35034,1.06985,1.85902,0.003268,0.003268,0.003268
70,17506,1.07198,1.09404,1.46712,0.74126,0.5134,0.55013,0.32695,1.35204,1.07002,1.85805,0.003169,0.003169,0.003169
71,17754.6,1.06898,1.08534,1.47248,0.80041,0.48934,0.55097,0.32873,1.32529,1.06943,1.83377,0.00307,0.00307,0.00307
72,17983.1,1.07234,1.08359,1.47293,0.78596,0.4923,0.54582,0.32826,1.32848,1.06573,1.83224,0.002971,0.002971,0.002971
73,18210.3,1.05654,1.05832,1.45875,0.74822,0.51678,0.55464,0.33115,1.32381,1.06673,1.83729,0.002872,0.002872,0.002872
74,18437.8,1.05122,1.05537,1.45252,0.74714,0.50041,0.55363,0.34089,1.31822,1.06363,1.83292,0.002773,0.002773,0.002773
75,18665.5,1.05688,1.05674,1.45613,0.73285,0.51216,0.55631,0.33808,1.3179,1.05489,1.83281,0.002674,0.002674,0.002674
76,18891.4,1.04048,1.04276,1.44584,0.78115,0.49721,0.554,0.33287,1.32282,1.04496,1.83819,0.002575,0.002575,0.002575
77,19118.5,1.05563,1.03285,1.45099,0.70001,0.5291,0.5555,0.33501,1.31872,1.04345,1.83695,0.002476,0.002476,0.002476
78,19345.6,1.04301,1.03673,1.44766,0.78072,0.48579,0.54656,0.33737,1.32101,1.04681,1.83288,0.002377,0.002377,0.002377
79,19572.1,1.03904,1.03833,1.44501,0.7571,0.49249,0.55077,0.33556,1.32342,1.04431,1.83382,0.002278,0.002278,0.002278
80,19799,1.03679,1.01039,1.44005,0.69605,0.52431,0.55338,0.33337,1.31695,1.04185,1.82619,0.002179,0.002179,0.002179
81,20026.5,1.02204,1.011,1.43444,0.70869,0.53264,0.54811,0.32826,1.30795,1.04701,1.81918,0.00208,0.00208,0.00208
82,20252.9,1.02101,1.00779,1.43089,0.77472,0.5078,0.54657,0.32938,1.30654,1.04587,1.82172,0.001981,0.001981,0.001981
83,20480.2,1.02537,0.99817,1.43612,0.75524,0.50501,0.54919,0.32986,1.31241,1.0379,1.8322,0.001882,0.001882,0.001882
84,20707.9,1.01657,0.99892,1.42828,0.7344,0.51574,0.55438,0.32941,1.31098,1.04103,1.83217,0.001783,0.001783,0.001783
85,20936.9,1.02064,0.99274,1.42589,0.74395,0.50361,0.53233,0.31916,1.31341,1.04438,1.82672,0.001684,0.001684,0.001684
86,21166.2,1.00291,0.97957,1.42197,0.74022,0.52804,0.54212,0.32209,1.31118,1.03754,1.82612,0.001585,0.001585,0.001585
87,21405.9,1.0128,0.98132,1.42451,0.7686,0.52481,0.54563,0.32515,1.31171,1.02962,1.82298,0.001486,0.001486,0.001486
88,21917.9,1.00859,0.96356,1.42249,0.76361,0.52697,0.54685,0.33206,1.30974,1.03402,1.82049,0.001387,0.001387,0.001387
89,22272,1.00747,0.97908,1.41918,0.75004,0.52919,0.55223,0.33229,1.3077,1.02582,1.81809,0.001288,0.001288,0.001288
90,22498.2,0.99226,0.97649,1.40874,0.74932,0.53173,0.5515,0.33075,1.31147,1.02775,1.82138,0.001189,0.001189,0.001189
91,22823,0.95528,0.81312,1.50326,0.73827,0.53468,0.55193,0.3302,1.31234,1.0285,1.82209,0.00109,0.00109,0.00109
92,23049.2,0.93295,0.78129,1.48263,0.73766,0.54276,0.55131,0.33031,1.30993,1.02976,1.82079,0.000991,0.000991,0.000991
93,23275.1,0.93459,0.77003,1.48647,0.73574,0.54164,0.55185,0.32868,1.30653,1.03135,1.81908,0.000892,0.000892,0.000892
94,23501,0.9262,0.76036,1.47941,0.7318,0.53829,0.55379,0.32882,1.30483,1.02698,1.81858,0.000793,0.000793,0.000793
95,23726.8,0.91533,0.74727,1.4733,0.74143,0.52433,0.55232,0.33176,1.30556,1.0257,1.82061,0.000694,0.000694,0.000694
96,23953.1,0.90978,0.73749,1.45906,0.73567,0.52541,0.55093,0.33122,1.30171,1.02381,1.81763,0.000595,0.000595,0.000595
97,24178.9,0.89667,0.7315,1.45459,0.74463,0.52525,0.54941,0.33305,1.29876,1.02225,1.81679,0.000496,0.000496,0.000496
98,24404.5,0.89925,0.72063,1.4547,0.73639,0.53344,0.55245,0.33409,1.2983,1.0233,1.81663,0.000397,0.000397,0.000397
99,24630.2,0.88245,0.71439,1.44208,0.73776,0.53714,0.55366,0.33586,1.29883,1.02158,1.81811,0.000298,0.000298,0.000298
100,24855.8,0.88934,0.71281,1.4465,0.73918,0.53476,0.55189,0.33496,1.29652,1.0195,1.81582,0.000199,0.000199,0.000199
